,time,ax,ay,az,gx,gy,gz
238,13034.596388947,0.01,0.006,-0.981,0.385,0.07,-0.123
239,13034.646342503,0.012,0.005,-0.982,0.262,-0.035,-0.14
240,13034.696408563,0.013,0.007,-0.981,0.298,0.07,-0.105
241,13034.746481508,0.013,0.006,-0.979,0.333,0.087,-0.07
242,13034.796410049,0.012,0.008,-0.979,0.315,0.0,-0.105
243,13034.84674916,0.009,0.006,-0.982,0.298,0.0,-0.105
244,13034.896378899,0.012,0.009,-0.979,0.262,-0.035,-0.123
245,13034.946369848,0.011,0.005,-0.98,0.315,0.035,-0.123
246,13034.996409064,0.012,0.006,-0.979,0.333,0.035,-0.052
247,13035.046512413,0.012,0.007,-0.979,0.262,-0.018,-0.175
248,13035.096479486,0.011,0.008,-0.978,0.35,0.07,-0.157
249,13035.146486229,0.011,0.005,-0.98,0.385,0.018,-0.087
250,13035.196530869,0.011,0.006,-0.98,0.333,0.035,-0.105
251,13035.24649393,0.012,0.005,-0.981,0.262,0.018,-0.087
252,13035.29647362,0.011,0.007,-0.98,0.228,0.14,-0.14
253,13035.346425382,0.012,0.006,-0.98,0.368,0.035,-0.14
254,13035.396437956,0.01,0.007,-0.98,0.333,0.0,-0.192
255,13035.44649305,0.012,0.005,-0.98,0.368,0.035,-0.035
256,13035.496578031,0.013,0.006,-0.979,0.298,0.035,-0.07
257,13035.546456789,0.012,0.008,-0.981,0.28,0.0,-0.123
258,13035.596355445,0.013,0.004,-0.98,0.35,0.07,-0.157
259,13035.646438049,0.009,0.005,-0.98,0.262,0.07,-0.175
260,13035.69643321,0.012,0.006,-0.978,0.298,0.07,-0.175
261,13035.746411077,0.01,0.008,-0.98,0.35,0.018,-0.175
262,13035.796512905,0.012,0.005,-0.98,0.35,0.07,-0.018
263,13035.846524276,0.01,0.008,-0.98,0.262,0.07,-0.14
264,13035.896405974,0.011,0.006,-0.98,0.21,0.052,-0.192
265,13035.946405173,0.013,0.006,-0.98,0.35,0.035,-0.192
266,13035.996377972,0.012,0.008,-0.981,0.385,-0.035,-0.123
267,13036.046437234,0.012,0.005,-0.98,0.315,0.07,-0.192
268,13036.096417435,0.011,0.007,-0.98,0.385,0.018,-0.07
269,13036.146388076,0.014,0.007,-0.978,0.315,0.07,-0.105
270,13036.196380811,0.012,0.008,-0.982,0.228,0.035,-0.018
271,13036.246413987,0.012,0.007,-0.978,0.262,0.035,-0.035
272,13036.296409983,0.01,0.005,-0.979,0.333,0.035,-0.14
273,13036.346505418,0.011,0.007,-0.98,0.298,0.0,-0.052
274,13036.396531864,0.011,0.007,-0.981,0.262,0.018,-0.192
275,13036.446384397,0.01,0.005,-0.979,0.35,0.0,-0.035
276,13036.496383851,0.01,0.008,-0.98,0.368,0.07,-0.052
277,13036.546416845,0.012,0.008,-0.98,0.315,0.035,-0.175
278,13036.596388349,0.011,0.008,-0.98,0.35,0.018,-0.157
279,13036.646412885,0.01,0.005,-0.978,0.437,0.07,-0.07
280,13036.696428381,0.01,0.007,-0.977,0.403,0.0,-0.123
281,13036.746406704,0.013,0.007,-0.979,0.245,0.07,-0.175
282,13036.796509982,0.011,0.007,-0.982,0.333,0.035,-0.175
283,13036.846534926,0.01,0.006,-0.979,0.368,0.07,-0.052
284,13036.89646985,0.011,0.008,-0.977,0.437,0.0,-0.123
285,13036.946591989,0.011,0.006,-0.981,0.228,0.035,-0.123
286,13036.996500201,0.011,0.005,-0.979,0.368,0.052,-0.245
287,13037.046498202,0.01,0.007,-0.98,0.333,0.123,-0.07
288,13037.096489203,0.011,0.008,-0.979,0.298,-0.035,-0.07
289,13037.146493611,0.01,0.006,-0.979,0.35,-0.052,-0.175
290,13037.196493508,0.01,0.005,-0.981,0.333,-0.052,-0.175
291,13037.2464314,0.01,0.007,-0.978,0.333,-0.035,-0.087
292,13037.296502787,0.008,0.007,-0.98,0.28,0.018,-0.192
293,13037.346507487,0.015,0.006,-0.979,0.315,0.018,-0.21
294,13037.39646759,0.009,0.006,-0.98,0.333,0.052,-0.123
295,13037.446470324,0.011,0.004,-0.981,0.228,0.018,-0.157
296,13037.496469834,0.01,0.005,-0.978,0.368,0.0,-0.228
297,13037.546437389,0.011,0.009,-0.977,0.228,0.018,-0.14
298,13037.59647728,0.008,0.006,-0.978,0.333,0.035,-0.262
299,13037.646442821,0.012,0.005,-0.982,0.298,0.035,-0.123
